"id","line","code","name","hex","rgb","cmyk"
"1001","copicSketch","0","Colorless Blender","FFFFFF","255,255,255","0.00,0.00,0.00,0.00"
"1002","copicSketch","100","Black","0D0C0C","13,12,12","0,5,6,95"
"1003","copicSketch","110","Special Black","000000","0,0,0","0,0,0,100"
"1004","copicSketch","C-00","Cool Gray 00","E9F2F2","233,242,242","4,0,0,5"
"1005","copicSketch","C-0","Cool Gray 0","E5F0F0","229,240,240","4.5,0,0,6"
"1006","copicSketch","C-1","Cool Gray 1","DAE5E5","218,229,229","5,0,0,10"
"1007","copicSketch","C-2","Cool Gray 2","CAD9D9","202,217,217","7,0,0,15"
"1008","copicSketch","C-3","Cool Gray 3","BCCACC","188,202,204","8,1,0,20"
"1009","copicSketch","C-4","Cool Gray 4","9FB1B2","159,177,178","11,1,0,30"
"1010","copicSketch","C-5","Cool Gray 5","879799","135,151,153","12,1,0,40"
"1011","copicSketch","C-6","Cool Gray 6","6C7E80","108,126,128","15,1,0,50"
"1012","copicSketch","C-7","Cool Gray 7","4C5859","76,88,89","15,1,0,65"
"1013","copicSketch","C-8","Cool Gray 8","363F40","54,63,64","15,1,0,75"
"1014","copicSketch","C-9","Cool Gray 9","1F2626","31,38,38","18,1,0,85"
"1015","copicSketch","C-10","Cool Gray 10","0A0D0D","10,13,13","20,1,0,95"
"1016","copicSketch","N-0","Neutral Gray 0","EBEBEB","235,235,235","0,0,0,8"
"1017","copicSketch","N-1","Neutral Gray 1","E0E0E0","224,224,224","0,0,0,12"
"1018","copicSketch","N-2","Neutral Gray 2","D6D6D6","214,214,214","0,0,0,16"
"1019","copicSketch","N-3","Neutral Gray 3","CCCCCC","204,204,204","0,0,0,20"
"1020","copicSketch","N-4","Neutral Gray 4","B2B2B2","178,178,178","0,0,0,30"
"1021","copicSketch","N-5","Neutral Gray 5","999999","153,153,153","0,0,0,40"
"1022","copicSketch","N-6","Neutral Gray 6","808080","128,128,128","0,0,0,50"
"1023","copicSketch","N-7","Neutral Gray 7","595959","89,89,89","0,0,0,65"
"1024","copicSketch","N-8","Neutral Gray 8","404040","64,64,64","0,0,0,75"
"1025","copicSketch","N-9","Neutral Gray 9","262626","38,38,38","0,0,0,85"
"1026","copicSketch","N-10","Neutral Gray 10","0D0D0D","13,13,13","0,0,0,95"
"1027","copicSketch","T-0","Toner Gray 0","EBEBEB","235,235,235","0,0,0,8"
"1028","copicSketch","T-1","Toner Gray 1","E8E8E6","232,232,230","0,0,1,9"
"1029","copicSketch","T-2","Toner Gray 2","DEDED9","222,222,217","0,0,2,13"
"1030","copicSketch","T-3","Toner Gray 3","CCCCC4","204,204,196","0,0,4,20"
"1031","copicSketch","T-4","Toner Gray 4","B2B1AC","178,177,172","0,1,4,30"
